歌手名字,歌手ID
ChianoSky,955063
SAR_H,13413016
Ice Preechaya,1193231
Lydia Sarunrat,106470
Suchitra,1111014
Isyana Sarasvati,1177004
伊帕尔古丽,1064029
Gulsanam Mamazoitova,12974012
Panadda Ruangwut,72578
cattzįm,12277696
DU丢丢丢,12281458
小波蒂,12184692
才姆措,12632451
Niniola,12232046
糖风,12282798
猫叶叶,14608399
Miu Le,367740
Dilso'z,12935099
水曜日,189941
三 角 測 距,12320883
Asha Bhosle,106414
Gypso Ariigantha,1192179
1̶2̶,12769255
Aleyna Tilki,12566123
李芮,12272701
Namika,1115152
AGNEZ MO,48055
SudiyeAy Mexmut,12204228
北檀,12204552
King Princess,13227500
Mook Worranit,1085015
Sevinch Mo'minova,12977084
Palmy,72539
伊美达,1084169
Alok,12870603
Nilufar Usmonova,12312099
Nat,658164
Yinglee Srijoomphol,1044260
Nan Vatiya,11971047
Elissa,56589
Zhenya Lubich,12008148
Lula,106479
予词,1050470
Focus Jeerakul,213369
Orange,13565060
次珍,12328964
宇田,759258
李内向,12200879
Eunomia,12271808
Yaya Urassaya,1057190
Wan Wanwan,12054248
Sam Rui,12053616
Cita Citata,1120039
Света Светикова,106576
Lagoon West,106474
Kishore Kumar,106476
Adrenalina,12008158
Toey Jarinporn,106605
Angel,28150
Praw Kanitkul,106541
Da Endorphine,106421
楠葵子,12288566
Melis Kar,12423043
МанТана,11977024
Fymme Bongkot,11971077
Namcha Sheranut,169075
Earth Patravee,1132774
猫亦记事录,1205026
Dong Nhi,711365
Punch,106542
Ann Thitima,106376
Kyla,63876
周毛嘉,12032325
李行,12288460
Khởi My,1177059
Yileen,12553384
歌手名字,歌手ID
落日飞车,11074
Dervishi,106727
Benom guruhi,12505929
Khalid,510446
九宝乐队,106805
4oot,12259787
GumNam,12324675
ForceZL,1184013
RED,12281709
抛抛,12051100
Jatin-Lalit,106801
FREE FLOW FLAVA ,1186015
Die Antwoord,106717
Do Shit,12139012
Hurd,106780
ZebraZebra,13683852
H.M.Funk,12291554
牧羊人,1025208
Cheetah Mobile Games,12276318
Nadeem & Shravan,452098
Sleepmakeswaves,100022
Getsunova,905156
AMTwo,12642917
Weed,12071037
Huun-Huur-Tu,106782
BNC$BrandNewCohort,12194976
SkyLights,1143051
AltaiKAI,106630
GOMAR STUDIO,1194100
Elecrystal Sound Team,12288929
KLEAR,95427
Yiltiz,1064094
ORDA,12000034
Fly,12976180
Мельница,818191
TATAR,106929
Potato,72492
ARnPRo,12172418
巅藏说唱团,12119141
Namgar,106855
千夜,12610587
2nd Room,1083129
eigenTunes亦听,1207047
PSYKHON,12174281
New & Jiew,106863
Budokan,106688
DJ宋雨飞已退,12173248
Superbrothers,13568051
惊奇海洋（Marvel ocean）,12070076
Bana-X,14804020
Anima,85667
Bodyslam,88356
林如韵,12600335
Khusugtun,1028050
August Band,106634
Natural Garden,711197
Amanecer Ecuador,106647
Room 39,12170117
PAUSE,12231140
Zaza Travel,106991
Cocktail,1146056
Yat-Kha,106366
欧洲音厨,12032215
桑布扎,946008
Zeal,46334
Labanoon,11991056
Melo'Men,1122025
K.P.R.,12648648
25 hours,106998
The Bilz and Kashif,996535
MelodyGarden,12172468
VIA Marokand,12970134
The Bottom Blues,103498
Dvar,106722
SIH SHANDIIN HOOLAI,12200872
Lipta,904054
Four Mod,92450
Cutie*,1142003
Instinct,12053243
Crystal Lake,1161044
Inspirative,106790
Part Time Musicians,12219123
野狼乐队,12359215
ABNormal,1192522
Poorman,12641213
ГРУППА ПИЦЦА,1049361
Q-Audio,12037049
贝叔,13793310
Krist-Singto,14098156
蓝野乐队,12197
RTG,12185319
Tengir-Too,106814
Bedroom Audio,1049244
Muxu,12274
Jangaa组合,13110785
Controls,12497408
Singular,100101
Gang Chenpa,106766
Asanee & Wasan,12053309
ДДТ,106733
歌手名字,歌手ID
米津玄師,159300
DAISHI DANCE,13953
高梨康治,15639
久石譲,14408
まふまふ,896913
澤野弘之,15290
リリィ、さよなら。,1101089
高橋優,159892
和田光司,15800
宗次郎,14960
佐橋俊彦,15291
川井憲次,14437
4円,782024
玉置浩二,15558
増田俊郎,14762
大野克夫,15105
坂本龍一,15289
そらる,15513
mpi,12475614
林ゆうき,14202
横山克,15917
a_hisa,13908
岸部眞明,14429
宮崎歩,829001
矢野立美,15948
神前暁,14629
和田薫,15824
Otokaze,15164
岡本光市,14598
Ken Arai,14695
illion,711232
鏡音レン,190527
ぼくのりりっくのぼうよみ,1193435
Sou,1193225
出羽良彰,855541
DECO*27,14001
吉森信,15855
折戸伸治,15102
伊東歌詞太郎,908227
徳永英明,13961
天門,15599
浜口史郎,14220
押尾コータロー,15081
光宗信吉,14775
布袋寅泰,14176
Mabanua,14748
三輪学,14866
菅田将暉,12334348
Neru,546614
秦基博,14153
Linked Horizon,15258
rairu,1049315
麻枝准,14782
JAY'ED,14410
芳賀敬太,12251253
luz,1019715
nero,15047
黒うさP,14610
SoulJa,15286
山岡晃,15871
百石元,14267
目黒将司,13828
祖堅正慶,824090
天月-あまつき-,13892
Aiobahn,1137416
上北健,768136
Matt Cab,39866
りぶ,818032
KG,14537
梅林茂,42983
鷺巣詩郎,15300
しゅーず,1047285
奥户巴寿,231900
増田俊樹,911008
岩崎琢,14056
いすぼくろ,12006116
深澤秀行,162150
松田彬人,17432
赤ティン,908132
佐藤直紀,15325
菅野祐悟,14472
大橋トリオ,161404
kous,14618
まらしぃ,14786
山下智久,15848
阿保剛,160387
植松伸夫,15806
平井 大,14270
Blazo,18750
Nujabes,162138
Ujico*/Snail's house,1079081
Jeku,12249087
Audio Highs,13819
足首,12023217
かんせる,1124288
植地雅哉,15789
向井太一,12192084
C.A.R.L,12177051
Robert de Boron,15252
加藤達也,159970
歌手名字,歌手ID
初音ミク,159692
Aimer,16152
花澤香菜,16456
DAOKO,855508
れをる,990289
majiko,191316
茅野愛衣,16906
小林未郁,16823
鹿乃,17014
鎖那,1002089
早見沙織,16501
花たん,16523
戸松遥,17905
KOKIA,16686
中島美嘉,160729
mizuki,981205
手嶌葵,17904
梶浦由記,16692
浜崎あゆみ,16405
つじあやの,17637
茶太,17601
鏡音リン,160154
GUMI,188274
96猫,18345
中島みゆき,17307
宇多田ヒカル,18122
やなぎなぎ,18303
磯村由纪子,16658
あいみょん,1053279
miu-clips,17088
伊藤サチコ,16605
Anan Ryoko,16069
nameless,1150207
水瀬いのり,1004106
鈴木このみ,17881
森永真由美,17227
CHiCO with HoneyWorks,1049332
柴田淳,16215
Gemie,12531080
広橋真紀子,16424
東山奈央,18012
當山みれい,954456
雨宮天,932027
Ms.OOJA,17143
高橋李依,1120106
YUI,18168
釘宮理恵,16690
EVO+,1154015
のぶなが,191321
ラブリーサマーちゃん,1120193
小野リサ,17479
iris,792599
ZARD,18349
倉木麻衣,161545
木村弓,16874
LiSA,16995
辻詩音,17644
青山テルマ,16017
椎名林檎,17635
いとうかなこ,16277
水樹奈々,17028
タイナカ彩智,17913
TRUE,896286
井口裕香,16625
Stack,778009
千菅春香,896226
MARiA,17301
川嶋あい,16700
久保ユリカ,900294
すぃ,12108042
Lia,16993
ヲタみん,18149
さユり,1116297
西野カナ,17313
Che'Nelle,52065
大冢爱,17477
nayuta,17401
茅原実里,17596
+α/あるふぁきゅん。,1050587
ルルティア,17597
小倉唯,17554
坂本真綾,17636
藤田麻衣子,16349
aori,12248031
Duca,16260
めらみぽっぷ,17207
Lyn,12262949
志方あきこ,17639
Tielle,12629228
安田レイ,787220
AZU,15998
ナノ,15063
Cyua,1181299
葉月ゆら,16465
ななひら,15021
藍井エイル,16151
ChouCho,16138
原田ひとみ,16486
acane_madder,723021
Ceui,16212
歌手名字,歌手ID
ラムジ,21196
SawanoHiroyuki[nZk],1096011
RADWIMPS,21132
MYTH & ROID,1137126
Valentin,22247
ONE OK ROCK,20878
EGOIST,19353
ハンバート ハンバート,19678
Goose house,19618
嵐,20292
Foxtail-Grass Studio,19481
fripSide,19395
S.E.N.S.,21309
ClariS,18961
ヘクとパスカル,990035
いきものがかり,19270
Falcom Sound Team jdk,19455
GARNiDELiA,19605
Mili,339594
刃-yaiba-,12333086
RAM WIRE,21162
H△G,996276
whiteeeen,1051003
音乐治疗,896513
上海アリス幻樂団,15345
WANDS,22299
六三四,20545
m.o.v.e,20466
ギガP,804355
MONKEY MAJIK,20453
ワルキューレ,161017
Supercell,21397
BAAD,18711
μ's,747064
End of the World,21463
MY FIRST STORY,20689
OxT,1080016
amazarashi,18480
SPYAIR,21503
ゴンチチ,20041
Kalafina,20032
UVERworld,22300
CHAI,12400117
幽閉サテライト,22435
DEPAPEPE,19107
FLOWER,19446
7!!,22540
Perfume,20965
みかん箱,20578
back number,18771
Sound Horizon,21306
AAA,18354
FELT,19460
GENERATIONS from EXILE TRIBE,711243
HoneyWorks,19859
ステレオポニー,21314
和楽器バンド,906077
The Nature Sounds Society Japan,22095
Della,19205
XX:me,13222556
moumoon,20463
CLIFF EDGE,18896
YUC'e,12054347
Alstroemeria Records,18468
ササノマリイ,1005027
STEREO DIVE FOUNDATION,852054
TAMUSIC,21967
ボイジャー,19873
VOCALOID,22250
Aqours,1156242
KinKi Kids,20037
M.Graveyard,20579
スピッツ,21308
ワカバ,22354
UPLIFT SPICE,22191
シド,19970
livetune,20374
FLOW,19393
関ジャニ∞,20040
SNKプレイモア,21380
FictionJunction,19391
ROOKiEZ is PUNK'D,21192
JAM Project,19975
凋叶棕,21981
GReeeeN,19550
CY8ER,12046863
EastNewSound,19312
MAGIC OF LiFE,19157
Jusqu'à Grand-Père,20025
マクロスMACROSS 82-99,850045
古川本舗,19475
欅坂46,12009134
ヒトリエ,784134
Chouchou,857097
Piano Master,21045
ANANT-GARDE EYES,11995148
sweet ARMS,747058
贵族乐团,958026
"Sing, R. Sing!",21537
魂音泉,21200
歌手名字,歌手ID
SHAUN,1150188
July,123825
George,12009165
G-Dragon,123577
Yiruma,124097
伯贤,1047070
Loco,124303
PSY,124492
Riot Ten,1113015
Junggigo,123937
Keith Ape,1120063
Frankmusik,33368
Chen,967037
朴宰范,124542
Turbotronic,124853
甘雨,124739
Mad Clown,124367
Verbal Jint,124925
权正烈,1053028
J_ust,1108042
October,124470
灿烈,1011017
太阳,124831
Crush,711186
MJ,124333
DEAN,1124004
Mario,124316
Zico,160347
Henry,776875
车银优,12121252
RUNY,13057852
K.Will,166027
Why,1081889
FADER ONE,12259963
JIDA,12150055
Gary,869001
Okasian,124472
卞耀汉,1191067
Fizo Faouez,12107943
Rain,124593
Animenz,1055014
QCQ official,13197128
SaMZIng,1203033
Laoz G,12304406
Toygar Işıklı,13196862
Vine,12311326
J. Lisk,12121101
吴赫,1054133
Zion.T,125125
Primary,124537
Ghayrat Mahmut,1081917
Crooks,123393
KANGTA,123188
郑世云,12487104
Nu.D,1032077
宋旻浩,985011
曺圭贤,123592
j-hope,1088128
Dok2,123416
Jami Soul,123813
The One,124845
JayAllDay,1146012
D.O.,1019321
Tiger JK,126600
SUGA,1088131
黄致列,1087387
Bruno,12096124
俊昊,190319
YB,12519733
郑镒勋,1046469
AK,1192509
钟铉,716002
咖啡少年,124063
GAEKO,711140
郑容和,123908
朴振荣,124487
Jung Kook,1075078
Owol,1193135
ESti,123535
MinMi,124366
龙俊亨,196774
V,1088125
Epitone Project,123511
RM,1044137
成始璄,123310
泰民,762060
My-Q,124313
陈敏镐,12149063
河佑镇,123640
T.O.P,124858
JINHO,12132537
Crepe,123386
Robins Lu,12490483
제이형,12487075
赵冠宇,125072
李文世,124127
郭泰勋,1050538
Tablo,124872
Bizzy,193266
Zhouna,1075094
歌手名字,歌手ID
J.Fla,805090
강혜인,28899383
泫雅,126066
太妍,125506
宣美,818678
Hari,125416
IU,160947
李宝蓝,125686
尹美莱,126011
金娜英,830036
Ailee,125175
Punch,1043105
DIA,125296
金喜善,203245
Jessica,125527
송보람,12503061
Sara,125909
朴素彬,125841
BoA,125237
Rachel Lim,12544217
Sevinch Mominova,12200929
泰仁,126019
Saniyam Ismail,12874411
白智英,125216
李贞贤,125616
蔡妍,125230
Suran,1081589
白娥娟,159634
孝琳,818694
普映蒙,12852374
Mi-Yu,1066121
秀智,768284
이민정,12487059
MIWOO,1097005
孝敏,956382
智妍,896243
CL,768159
Çhay,12479766
Lillo,963067
Gummy,125351
Hello Gayoung,905373
Celine,28390550
Oohyo,963562
Sugarhate,12090010
Choco And Vanilla,12108460
JB,125498
李仙姬,125623
Rothy,12828299
Who r u?,11975241
NS允智,125783
李孝利,125615
ZaleLes,12118026
昭宥,866090
JN,125546
敏雅,493780
Yulia,126151
이아람,12474074
李珍雅,1032432
Ali,125183
Cydney,552732
Han All,1007067
Jinsil,1025248
淑熙,125935
郑世珍,1085025
张才人,126210
Taru,126014
Tiffany Young,126009
조하니,1050158
李妍智,125549
星,126061
林允儿,126130
全秀妍,125869
Jessi,1050232
Heize,964049
李遐怡,181009
LYn,125617
沈圭善,125968
张娜拉,126174
尹恩惠,126099
DJ Soda,12046196
Younha,126101
PUP,12259460
Krystal,125591
Yangpa,125610
朴智敏,827360
진호,125581
가음,1193519
Lu Sienna,125236
朴素妍,787194
米娜,125755
郑仁,126191
雪娥,12098020
Wax,126112
赵贤雅,718007
白艺潾,1050333
Ben,783299
金宝京,125543
Aries,1181090
郑恩地,174005
Hani,1081893
歌手名字,歌手ID
BTS (防弹少年团),783124
EXO,759509
脸红的思春期,1039524
BIGBANG,126339
T-ara,127815
少女时代,126793
GOT7,881021
BLACKPINK,12068017
(G)I-DLE,14055085
Red Velvet,976157
宇宙少女,1193531
TWICE,1161043
iKON,1011143
Super Junior,127587
f(x),127043
PENTAGON,12041119
CNBLUE,126524
EXID,126721
ASTRO,11996164
레게 강 같은 평화 (RGP),159554
SHINee,127582
WINNER,976163
TAIBIAN,830062
Triple H,12369104
下垂的蜗牛,128134
Trouble Maker,161330
DAViCHi,126592
BTOB,126454
NCT DREAM,12107352
StudioEIM,11978034
hyukoh,1054167
Wizet,1132171
Leessang,127089
Beast,126377
4MINUTE,128176
The Royal Concept,104353
Apink,126277
Wonder Girls,128048
SUPER JUNIOR-D&E(东海&银赫),896940
CLC,1053145
Rocoberry,916094
2PM,128182
AOA,126312
东方神起,126614
2NE1,128177
Plastic,896043
高耀太,126797
We Are the Night,792757
EXO-K,126722
MZJ,12198272
G'Night Stand,1192052
青春学概论,1103095
miss A,127210
Epik High,126682
Clubhunter,126504
Weki Meki,12505884
GFRIEND,1046043
Kara,127055
Infinite,126982
EXO-CBX,12155133
DAY6,1146052
许空&孙振英,1191217
이웃집 꽃순이,12262858
Standing Egg,127686
NCT 127,12073222
神话,127584
Brown Eyed Girls,126327
屋顶月光,128040
B1A4,126409
Wanna One,12506025
SEVENTEEN,1080132
Mamamoo,868006
Dazzling Red,673006
七公主,127485
GD X TAEYANG,1032279
Seenroot,1060006
DIA,1144034
FTISLAND,126737
10cm,128195
Crayon Pop,126581
乐童音乐家,758041
발라드 공장,12776147
少女时代-TaeTiSeo,159879
Girl's Day,126828
Blue Eyelids,1150274
Lovelyz,1026002
乌龟组合,128028
挪威森林,1019698
NÉONHÈART,12273083
Therion,78203
Dynamic Black,712054
강아지 음악,12474644
SS501,127585
JYJ,159051
After School,126236
As One,126243
DancingLi0n舞狮,12367045
Stellar,127714
Stray Kids,12647860
B.A.P,126438
